"NM"
"A"
"A"
"B"
"E"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"D"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"H"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"F"
"A"
"A"
"A"
"B"
"A"
"A"
"C"
"A"
"A"
"A"
"D"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"D"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"B"
"A"
"A"
"A"
"C"
"A"
"A"
"C"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"G"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"E"
"A"
"A"
"A"
"B"
"A"
"B"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"E"
"A"
"A"
"A"
"A"
"A"
"I"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"D"
"A"
"A"
"A"
"A"
"A"
"A"
"E"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"D"
"E"
"B"
"A"
"B"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"C"
"A"
"A"
"A"
"D"
"A"
"D"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"G"
"A"
"A"
"A"
"A"
"A"
"B"
"A"
"A"
"A"
"A"
"A"
"A"
"A"
